ticker,company_name,asset_type,exchange,sector,currency,latest_entry_price,events,recovered_events,recovery_rate_pct,avg_dividend_yield_pct,median_dividend_yield_pct,avg_ex_drop_pct,latest_ex_dividend_date,median_recovery_days,avg_recovery_days,std_recovery_days,avg_annualized_return_pct,median_annualized_return_pct,best_annualized_return_pct,std_annualized_return_pct,risk_adjusted_tae_pct,expected_tae_pct,speed_score,security_score,stability_score,capture_score,trend_return_3m_pct,trend_return_6m_pct,trend_vs_sma200_pct,trend_drawdown_6m_pct,trend_risk_score,trend_score_multiplier,trend_adjusted_capture_score,trend_adjusted_expected_tae_pct,speed_cluster,safety_cluster,stability_cluster,trend_cluster,capture_cluster
RILYN,"BRC Group Holdings, Inc. 6.50% Senior Notes Due 2026",Note/Bond,,,USD,10.550000190734863,2,2,100.0,3.636602272701726,3.636602272701726,-0.584448937769828,2025-04-15,1.5,1.5,0.7071067811865476,1124.6055329716007,1124.6055329716007,1440.1074009012627,446.18702058017305,884.9065530240867,884.9065530240867,98.5,100.0,99.29289321881345,93.08053625552374,4.088450052808179,16.046515176462584,10.593263932346275,-0.3594255163628213,0.21565530981769276,0.997843446901823,92.87980313668191,882.9982050555656,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
GREEL,Greenidge Generation Holdings Inc. 8.50% Senior Notes due 2026,Note/Bond,,,USD,7.199999809265137,2,2,100.0,6.312174925166901,6.312174925166901,-2.7798133654538013,2025-04-15,10.5,10.5,4.949747468305833,292.498913863822,292.498913863822,336.86651854034835,62.74526826355156,219.42322358913515,219.42322358913515,89.5,100.0,95.05025253169417,92.41971280492102,13.333335289588334,19.054036031144772,20.63200481772791,-1.7777760823567745,1.0666656494140647,0.9893333435058593,91.4339034751438,217.08271143627283,Rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
PFXNZ,PhenixFIN Corporation  5.25% Notes due 2028,Note/Bond,,,USD,23.75,4,4,100.0,1.4115085847124085,1.417358438459646,-0.033241165012844076,2025-10-15,1.0,1.25,0.5,482.9636400326735,510.4652927494949,628.5272851904367,144.91970781216222,515.2006334200291,515.2006334200291,99.0,100.0,99.5,91.03650858471241,1.6881182683351037,1.7095769107925207,1.3475262818431144,-0.3515342876281746,0.21092057257690477,0.997890794274231,90.84449385955152,514.1139692940998,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
RDVT,"Red Violet, Inc.",Stock,Nasdaq,7372,USD,36.369998931884766,2,2,100.0,0.8248556744855902,0.8248556744855902,0.0824926996845139,2025-01-31,1.0,1.0,0.0,331.182156572088,331.182156572088,331.182156572088,0.0,301.0723211872404,301.0723211872404,99.0,100.0,100.0,90.5248556744856,87.6021377351792,29.60872730275501,36.294365408003436,0.0,0.0,1.0,90.5248556744856,301.0723211872404,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
MSM,MSC INDUSTRIAL DIRECT CO INC,Stock,NYSE,5084,USD,90.70999908447266,6,6,100.0,1.025188566298063,1.0040356005552373,1.798222197320806,2026-04-08,1.0,2.1666666666666665,2.401388487243717,1137.4053464644442,507.45853023659686,3048.16992381043,1226.8742393913662,374.19382669879303,374.19382669879303,99.0,100.0,97.59861151275628,90.36498029321152,39.19397879261452,46.45853516329785,33.67478723356028,0.0,0.0,1.0,90.36498029321152,374.19382669879303,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
CVS,CVS HEALTH Corp,Stock,NYSE,5912,USD,76.43000030517578,6,6,100.0,0.9752019661346831,0.9452426916399852,0.7634927717255021,2026-04-23,1.0,1.8333333333333333,1.6020819787597222,704.2305236885454,680.0694336652148,1478.0519519540803,513.1619859766904,355.94871763915927,355.94871763915927,99.0,100.0,98.39791802124027,90.43488966932073,42.07376064380506,30.300770299422087,28.245760371692064,-0.2388687093945796,0.14332122563674776,0.9985667877436325,90.30527727704342,355.4385675744005,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
BANR,BANNER CORP,Stock,Nasdaq,6022,USD,64.79000091552734,12,12,100.0,0.7762890747084886,0.7856800410405915,0.4742223756586419,2026-05-05,1.0,1.8333333333333333,1.2673044646258476,507.78089973642665,457.44246551591596,945.7317936753452,325.79767801127105,283.3455122685983,283.3455122685983,99.0,100.0,98.73269553537415,90.28619340501461,10.698058653448994,9.156396844774605,7.291380020106142,0.0,0.0,1.0,90.28619340501461,283.3455122685983,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
MAN,ManpowerGroup Inc.,Stock,NYSE,7363,USD,31.6299991607666,3,3,100.0,2.1653753243952516,2.276320009812323,-0.29804344504142993,2026-06-01,5.0,6.333333333333333,4.163331998932265,359.5241089178042,185.29212894392907,777.0054139235085,363.1925501736807,158.07239868085338,158.07239868085338,95.0,100.0,95.83666800106774,90.04087552455542,26.93356246644676,23.93546816367944,20.12327019502036,0.0,0.0,1.0,90.04087552455542,158.07239868085338,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
0P000026O3.L,0P000026O3.L,ETF/Fund,London Stock Exchange,Europe,GBP,1.0,3,3,100.0,0.30036666666666667,0.3032,0.0,2026-05-29,1.0,1.0,0.0,109.63383333333333,110.668,114.099,5.062108314065719,109.63383333333333,109.63383333333333,99.0,100.0,100.0,90.00036666666666,0.0,0.0,0.0,0.0,0.0,1.0,90.00036666666666,109.63383333333333,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
LIN,LINDE PLC,Stock,Nasdaq,2810,USD,507.5700073242188,12,12,100.0,0.3308776035096977,0.3252068549330654,0.3042618987522124,2026-06-04,1.0,1.1666666666666667,0.38924947208076155,225.65339597808676,216.48239706740287,397.8835509909944,110.71811465964483,120.77032528103966,120.77032528103966,99.0,100.0,99.61075052791924,89.97249018269758,6.516110044709533,24.758219072281527,14.08738452035687,0.0,0.0,1.0,89.97249018269758,120.77032528103966,Muy rapida,Alta,Muy estable,Tendencia sana,Rapido y rentable
