ticker,name,exchange,country,region,asset_type,provider,updated_at
JGPI.DE,JPM ETFs(I)-Glbl Eq.Pr.Inc.,Germany/Xetra,Germany,Europe,ETF/Fund,manual_seed,
JEPG.L,JPMorgan Global Equity Premium Income UCITS ETF,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
JEPG.MI,JPM Global Equity Premium Income UCITS ETF,Borsa Italiana,Italy,Europe,ETF/Fund,manual_seed,
JEPI.L,JPMorgan US Equity Premium Income UCITS ETF,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
JEPI.MI,JPM US Equity Premium Income Active UCITS ETF,Borsa Italiana,Italy,Europe,ETF/Fund,manual_seed,
JEPQ.L,JPMorgan Nasdaq Equity Premium Income UCITS ETF,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
JEPQ.MI,JPM Nasdaq Equity Premium Income UCITS ETF,Borsa Italiana,Italy,Europe,ETF/Fund,manual_seed,
VUSA.L,Vanguard S&P 500 UCITS ETF,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
VUSA.AS,Vanguard S&P 500 UCITS ETF,Euronext Amsterdam,Netherlands,Europe,ETF/Fund,manual_seed,
VUSA.DE,Vanguard S&P 500 UCITS ETF,Germany/Xetra,Germany,Europe,ETF/Fund,manual_seed,
VUAA.L,Vanguard S&P 500 UCITS ETF Acc,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
VUAA.MI,Vanguard S&P 500 UCITS ETF Acc,Borsa Italiana,Italy,Europe,ETF/Fund,manual_seed,
VUAA.DE,Vanguard S&P 500 UCITS ETF Acc,Germany/Xetra,Germany,Europe,ETF/Fund,manual_seed,
EQQQ.L,Invesco EQQQ Nasdaq-100 UCITS ETF,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
EQQQ.MI,Invesco EQQQ Nasdaq-100 UCITS ETF,Borsa Italiana,Italy,Europe,ETF/Fund,manual_seed,
EQQB.DE,Invesco EQQQ Nasdaq-100 UCITS ETF,Germany/Xetra,Germany,Europe,ETF/Fund,manual_seed,
IWDA.L,iShares Core MSCI World UCITS ETF,London Stock Exchange,United Kingdom,Europe,ETF/Fund,manual_seed,
IWDA.AS,iShares Core MSCI World UCITS ETF,Euronext Amsterdam,Netherlands,Europe,ETF/Fund,manual_seed,
