ticker,name,exchange,sector,state,asset_type
A,"AGILENT TECHNOLOGIES, INC.",NYSE,3826,DE,Stock
AA,Alcoa Corp,NYSE,3334,DE,Stock
AAAU,Goldman Sachs Physical Gold ETF,CBOE,6221,NY,Stock
AAL,American Airlines Group Inc.,Nasdaq,4512,DE,Stock
AAME,ATLANTIC AMERICAN CORP,Nasdaq,6311,GA,Stock
AAMI,Acadian Asset Management Inc.,NYSE,6282,DE,Stock
AAOI,"APPLIED OPTOELECTRONICS, INC.",Nasdaq,3674,DE,Stock
AAON,"AAON, INC.",Nasdaq,3585,NV,Stock
AAP,ADVANCE AUTO PARTS INC,NYSE,5531,DE,Stock
AAPL,Apple Inc.,Nasdaq,3571,CA,Stock
AARD,"Aardvark Therapeutics, Inc.",Nasdaq,2834,DE,Stock
AB,ALLIANCEBERNSTEIN HOLDING L.P.,NYSE,6282,DE,Stock
ABAT,AMERICAN BATTERY TECHNOLOGY Co,Nasdaq,1400,NV,Stock
ABBV,AbbVie Inc.,NYSE,2834,DE,Stock
ABCB,Ameris Bancorp,NYSE,6022,GA,Stock
ABCL,AbCellera Biologics Inc.,Nasdaq,2834,A1,Stock
ABEO,ABEONA THERAPEUTICS INC.,Nasdaq,2834,DE,Stock
ABG,ASBURY AUTOMOTIVE GROUP INC,NYSE,5500,DE,Stock
ABM,ABM INDUSTRIES INC /DE/,NYSE,7340,DE,Stock
ABNB,"Airbnb, Inc.",Nasdaq,7340,DE,Stock
ABOS,"Acumen Pharmaceuticals, Inc.",Nasdaq,2836,DE,Stock
ABSI,Absci Corp,Nasdaq,8731,,Stock
ABT,ABBOTT LABORATORIES,NYSE,2834,IL,Stock
ABUS,Arbutus Biopharma Corp,Nasdaq,2834,A1,Stock
ABVC,"ABVC BIOPHARMA, INC.",Nasdaq,2834,NV,Stock
ABX,"Abacus Global Management, Inc.",NYSE,6282,DE,Stock
ACA,"Arcosa, Inc.",NYSE,3440,DE,Stock
ACAD,ACADIA PHARMACEUTICALS INC,Nasdaq,2834,DE,Stock
ACCO,ACCO BRANDS Corp,NYSE,2780,DE,Stock
ACCS,ACCESS Newswire Inc.,NYSE,8742,,Stock
ACDC,ProFrac Holding Corp.,Nasdaq,1389,DE,Stock
ACEL,"Accel Entertainment, Inc.",NYSE,7900,DE,Stock
ACET,"Adicet Bio, Inc.",Nasdaq,2834,DE,Stock
ACFN,"ACORN ENERGY, INC.",Nasdaq,8711,DE,Stock
ACGL,ARCH CAPITAL GROUP LTD.,Nasdaq,6331,,Stock
ACH,ACCENDRA HEALTH INC/VA/,NYSE,5047,VA,Stock
ACHC,"Acadia Healthcare Company, Inc.",Nasdaq,8093,DE,Stock
ACHR,Archer Aviation Inc.,NYSE,3721,,Stock
ACHV,"ACHIEVE LIFE SCIENCES, INC.",Nasdaq,2835,DE,Stock
ACI,"Albertsons Companies, Inc.",NYSE,5411,DE,Stock
ACIC,AMERICAN COASTAL INSURANCE Corp,Nasdaq,6331,DE,Stock
ACIW,"ACI WORLDWIDE, INC.",Nasdaq,7372,DE,Stock
ACLS,AXCELIS TECHNOLOGIES INC,Nasdaq,3559,DE,Stock
ACLX,"Arcellx, Inc.",Nasdaq,2836,DE,Stock
ACM,AECOM,NYSE,8711,DE,Stock
ACMR,"ACM Research, Inc.",Nasdaq,3559,CA,Stock
ACN,Accenture plc,NYSE,7389,L2,Stock
ACNB,ACNB CORP,Nasdaq,6022,PA,Stock
ACNT,ASCENT INDUSTRIES CO.,Nasdaq,2800,DE,Stock
ACOG,Alpha Cognition Inc.,Nasdaq,2836,A1,Stock
ACON,"Aclarion, Inc.",Nasdaq,8071,DE,Stock
ACRS,"Aclaris Therapeutics, Inc.",Nasdaq,2834,DE,Stock
ACRV,"Acrivon Therapeutics, Inc.",Nasdaq,2834,,Stock
ACT,"Enact Holdings, Inc.",Nasdaq,6411,DE,Stock
ACTU,"ACTUATE THERAPEUTICS, INC.",Nasdaq,2834,DE,Stock
ACU,ACME UNITED CORP,NYSE,3420,CT,Stock
ACVA,ACV Auctions Inc.,NYSE,7389,DE,Stock
ACXP,"Acurx Pharmaceuticals, Inc.",Nasdaq,2834,DE,Stock
AD,"ARRAY DIGITAL INFRASTRUCTURE, INC.",NYSE,4812,DE,Stock
ADBE,ADOBE INC.,Nasdaq,7372,DE,Stock
ADCT,ADC Therapeutics SA,NYSE,2834,V8,Stock
ADEA,Adeia Inc.,Nasdaq,4841,DE,Stock
ADGM,"Adagio Medical Holdings, Inc.",Nasdaq,3841,DE,Stock
ADI,ANALOG DEVICES INC,Nasdaq,3674,MA,Stock
ADIL,"ADIAL PHARMACEUTICALS, INC.",Nasdaq,2834,DE,Stock
ADM,Archer-Daniels-Midland Co,NYSE,2070,DE,Stock
ADMA,"ADMA BIOLOGICS, INC.",Nasdaq,2836,DE,Stock
ADNT,Adient plc,NYSE,3714,L2,Stock
ADP,AUTOMATIC DATA PROCESSING INC,Nasdaq,7374,DE,Stock
ADPT,Adaptive Biotechnologies Corp,Nasdaq,2836,WA,Stock
ADSK,"Autodesk, Inc.",Nasdaq,7372,DE,Stock
ADT,ADT Inc.,NYSE,7381,DE,Stock
ADTN,"ADTRAN Holdings, Inc.",Nasdaq,3661,,Stock
ADTX,"Aditxt, Inc.",Nasdaq,2834,DE,Stock
ADUS,Addus HomeCare Corp,Nasdaq,8082,DE,Stock
ADV,Advantage Solutions Inc.,Nasdaq,7389,,Stock
ADVB,Advanced Biomed Inc.,Nasdaq,8071,NV,Stock
AEBI,Aebi Schmidt Holding AG,Nasdaq,3531,V8,Stock
AEE,AMEREN CORP,NYSE,4931,MO,Stock
AEHR,AEHR TEST SYSTEMS,Nasdaq,3825,CA,Stock
AEI,Alset Inc.,Nasdaq,6500,TX,Stock
AEIS,ADVANCED ENERGY INDUSTRIES INC,Nasdaq,3679,DE,Stock
AEMD,AETHLON MEDICAL INC,Nasdaq,3841,NV,Stock
AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,Nasdaq,5099,DE,Stock
AEO,AMERICAN EAGLE OUTFITTERS INC,NYSE,5651,DE,Stock
AEON,"AEON Biopharma, Inc.",NYSE,2834,DE,Stock
